

A1, bzip,eon,equake,galgel,gcc,mcf,mesa,swim,wupwise
sim_num_stores, 7921526.0000,17462724.0000,8480395.0000,3729084.0000,10983037.0000,8824741.0000,7612940.0000,2439283.0000,6122448.0000
sim_IPC, 2.7164,1.4077,1.8003,1.4804,1.1688,2.0209,1.9007,1.7633,2.1778
sim_CPI, 0.3681,0.7104,0.5555,0.6755,0.8556,0.4948,0.5261,0.5671,0.4592
il1.hits, 101225766,117907485,107583513,102386719,119653093,104599880,108706061,100120037,100000008
il1.misses, 54,2551785,2503371,263,5813522,1475283,1774648,62,15
il1.miss_rate, 0.0000,0.0212,0.0227,0.0000,0.0463,0.0139,0.0161,0.0000,0.0000
dl1.hits, 33351585,48272900,36168853,6122245,47970887,35795763,35786696,24032271,11989788
dl1.misses, 27158,89825,14351,93262,511335,170504,13181,256625,255108
dl1.miss_rate, 0.0008,0.0019,0.0004,0.0150,0.0105,0.0047,0.0004,0.0106,0.0208
ul2.hits, 25937,2685515,2521022,146836,6531840,1709620,1784591,374746,381642
ul2.misses, 13613,1325,7165,19561,31107,99000,6781,134836,127565
ul2.miss_rate, 0.3442,0.0005,0.0028,0.1176,0.0047,0.0547,0.0038,0.2646,0.2505

B3, bzip,eon,equake,galgel,gcc,mcf,mesa,swim,wupwise
sim_num_insn, 100000001,100000003,100000002,100000000,100000002,100000000,100000003,100000002,100000002
sim_num_refs, 33393490,47295231,35403747,8995424,46203359,35761059,35030678,24291284,12244896
sim_num_loads, 25471964,29832507,26923352,5266340,35220322,26936318,27417738,21852001,6122448
sim_num_stores, 7921526.0000,17462724.0000,8480395.0000,3729084.0000,10983037.0000,8824741.0000,7612940.0000,2439283.0000,6122448.0000
sim_IPC, 2.7164,1.4096,1.8003,1.4807,1.1809,2.0205,1.9007,1.7635,2.1778
sim_CPI, 0.3681,0.7094,0.5554,0.6754,0.8468,0.4949,0.5261,0.5670,0.4592
il1.hits, 101225766,117908433,107583517,102386417,119592433,104599880,108706061,100120037,100000008
il1.misses, 54,2551783,2503371,262,5808216,1475283,1774648,62,15
il1.miss_rate, 0.0000,0.0212,0.0227,0.0000,0.0463,0.0139,0.0161,0.0000,0.0000
dl1.hits, 33351597,48356954,36169375,6182571,48382286,35796741,35786696,24034714,11989788
dl1.misses, 27146,3414,13831,32873,63610,169526,13181,254182,255108
dl1.miss_rate, 0.0008,0.0001,0.0004,0.0053,0.0013,0.0047,0.0004,0.0105,0.0208
ul2.hits, 24393,2554900,2518038,33043,5863343,1665126,1783624,335656,378570
ul2.misses, 13614,1325,7335,23831,22532,138942,6785,168430,127565
ul2.miss_rate, 0.3582,0.0005,0.0029,0.4190,0.0038,0.0770,0.0038,0.3341,0.2520

C1, bzip,eon,equake,galgel,gcc,mcf,mesa,swim,wupwise
sim_num_insn, 100000001,100000003,100000002,100000000,100000002,100000000,100000003,100000002,100000002
sim_num_refs, 33393490,47295231,35403747,8995424,46203359,35761059,35030678,24291284,12244896
sim_num_loads, 25471964,29832507,26923352,5266340,35220322,26936318,27417738,21852001,6122448
sim_num_stores, 7921526.0000,17462724.0000,8480395.0000,3729084.0000,10983037.0000,8824741.0000,7612940.0000,2439283.0000,6122448.0000
sim_IPC, 2.7080,1.3894,1.7977,1.4796,1.1453,2.0190,1.8987,1.7522,2.1770
sim_CPI, 0.3693,0.7198,0.5563,0.6759,0.8731,0.4953,0.5267,0.5707,0.4593
il1.hits, 101225278,117964024,107582210,102384675,119781598,104599537,108704715,100120019,100000008
il1.misses, 54,2551918,2503229,263,5816633,1475283,1774654,62,15
il1.miss_rate, 0.0000,0.0212,0.0227,0.0000,0.0463,0.0139,0.0161,0.0000,0.0000
dl1.hits, 33313416,47785276,36127928,6091522,46982215,35709165,35763523,23885251,11981073
dl1.misses, 64454,657629,53545,124209,1671608,257355,35527,403645,263823
dl1.miss_rate, 0.0019,0.0136,0.0015,0.0200,0.0344,0.0072,0.0010,0.0166,0.0215
ul2.hits, 76894,3413514,2575124,180484,8127508,1839294,1812248,526023,397080
ul2.misses, 13611,1326,7140,19557,34032,99040,6781,134697,127565
ul2.miss_rate, 0.1504,0.0004,0.0028,0.0978,0.0042,0.0511,0.0037,0.2039,0.2431

C2, bzip,eon,equake,galgel,gcc,mcf,mesa,swim,wupwise
sim_num_insn, 100000001,100000003,100000002,100000000,100000002,100000000,100000003,100000002,100000002
sim_num_refs, 33393490,47295231,35403747,8995424,46203359,35761059,35030678,24291284,12244896
sim_num_loads, 25471964,29832507,26923352,5266340,35220322,26936318,27417738,21852001,6122448
sim_num_stores, 7921526.0000,17462724.0000,8480395.0000,3729084.0000,10983037.0000,8824741.0000,7612940.0000,2439283.0000,6122448.0000
sim_IPC, 2.7161,1.4038,1.8001,1.4802,1.1641,2.0206,1.9007,1.7632,2.1778
sim_CPI, 0.3682,0.7124,0.5555,0.6756,0.8590,0.4949,0.5261,0.5672,0.4592
il1.hits, 101225486,117877399,107583437,102384671,119666216,104599858,108706102,100120037,100000008
il1.misses, 54,2551785,2503371,263,5814635,1475283,1774648,62,15
il1.miss_rate, 0.0000,0.0212,0.0227,0.0000,0.0463,0.0139,0.0161,0.0000,0.0000
dl1.hits, 33348312,48242291,36166442,6113611,47780163,35791790,35786582,24031319,11989788
dl1.misses, 30409,160041,16760,102009,726712,174892,13293,257577,255108
dl1.miss_rate, 0.0009,0.0033,0.0005,0.0164,0.0150,0.0049,0.0004,0.0106,0.0208
ul2.hits, 32232,2770325,2523561,155916,6801944,1715365,1784731,375729,381642
ul2.misses, 13622,1326,7157,19546,32262,99135,6781,134842,127565
ul2.miss_rate, 0.2971,0.0005,0.0028,0.1114,0.0047,0.0546,0.0038,0.2641,0.2505

C3, bzip,eon,equake,galgel,gcc,mcf,mesa,swim,wupwise
sim_num_insn, 100000001,100000003,100000002,100000000,100000002,100000000,100000003,100000002,100000002
sim_num_refs, 33393490,47295231,35403747,8995424,46203359,35761059,35030678,24291284,12244896
sim_num_loads, 25471964,29832507,26923352,5266340,35220322,26936318,27417738,21852001,6122448
sim_num_stores, 7921526.0000,17462724.0000,8480395.0000,3729084.0000,10983037.0000,8824741.0000,7612940.0000,2439283.0000,6122448.0000
sim_IPC, 2.7164,1.4076,1.8003,1.4804,1.1695,2.0209,1.9007,1.7633,2.1778
sim_CPI, 0.3681,0.7104,0.5555,0.6755,0.8551,0.4948,0.5261,0.5671,0.4592
il1.hits, 101225766,117907561,107583513,102386985,119647514,104599880,108706061,100120037,100000008
il1.misses, 54,2551785,2503371,263,5813265,1475283,1774648,62,15
il1.miss_rate, 0.0000,0.0212,0.0227,0.0000,0.0463,0.0139,0.0161,0.0000,0.0000
dl1.hits, 33351586,48269068,36169166,6121491,47977955,35795976,35786696,24032399,11989788
dl1.misses, 27157,93406,14040,94000,496775,170291,13181,256497,255108
dl1.miss_rate, 0.0008,0.0019,0.0004,0.0151,0.0102,0.0047,0.0004,0.0106,0.0208
ul2.hits, 25902,2689092,2520735,147472,6516428,1709172,1784625,374614,381642
ul2.misses, 13613,1325,7157,19588,30703,99007,6781,134840,127565
ul2.miss_rate, 0.3445,0.0005,0.0028,0.1173,0.0047,0.0548,0.0038,0.2647,0.2505

D1, bzip,eon,equake,galgel,gcc,mcf,mesa,swim,wupwise
sim_num_insn, 100000001,100000003,100000002,100000000,100000002,100000000,100000003,100000002,100000002
sim_num_refs, 33393490,47295231,35403747,8995424,46203359,35761059,35030678,24291284,12244896
sim_num_loads, 25471964,29832507,26923352,5266340,35220322,26936318,27417738,21852001,6122448
sim_num_stores, 7921526.0000,17462724.0000,8480395.0000,3729084.0000,10983037.0000,8824741.0000,7612940.0000,2439283.0000,6122448.0000
sim_IPC, 2.7164,1.4033,1.7995,1.4795,1.1203,2.0206,1.9007,1.7630,2.1778
sim_CPI, 0.3681,0.7126,0.5557,0.6759,0.8926,0.4949,0.5261,0.5672,0.4592
il1.hits, 101225766,117906734,107583396,102386248,119720535,104599880,108706065,100120037,100000008
il1.misses, 54,2551816,2503371,263,5818656,1475283,1774648,62,15
il1.miss_rate, 0.0000,0.0212,0.0227,0.0000,0.0463,0.0139,0.0161,0.0000,0.0000
dl1.hits, 33351579,48171527,36159157,6112451,47561432,35794295,35786683,24031561,11989788
dl1.misses, 27164,200085,24057,103122,988183,171972,13194,257335,255108
dl1.miss_rate, 0.0008,0.0041,0.0007,0.0166,0.0204,0.0048,0.0004,0.0106,0.0208
ul2.hits, 26172,2801344,2531297,150835,7035688,1712131,1784762,375743,382154
ul2.misses, 13613,2997,7148,27492,182287,99687,6785,135056,127565
ul2.miss_rate, 0.3422,0.0011,0.0028,0.1542,0.0253,0.0550,0.0038,0.2644,0.2503

D2, bzip,eon,equake,galgel,gcc,mcf,mesa,swim,wupwise
